ID,name,artist,style,language,BPM,instrument,lyrics,label,emotion_json,dominant_emotion
2130438210,The eras tour intro,bowa,,English,,,"作词 : bowa 作曲 : bowa 编曲 : bowa It' s been a long time - Coming It' s been a long time coming It' s been a long time... It' s you and me... It' s been a long time coming It' s been a long time coming It' s fearless It' s been a long time coming Big reputation It' s been a long time coming, but And they said,"" Speak now"" It' s been a long time coming Into folklore My name is Taylor and I was born in1989. It' s been a long time coming It' s been a long time coming Evermore Loving him was red It' s been a long time coming Re- e- e- ed, re- e- e- ed Meet me at midnight Lover Nice Lover It's you and me,that's my whole world， They whisper in the hallway,""She's a bad, bad girl""， The whole school is rolling fake dice， You play stupid games, you win stupid prizes， It's you and me,there's nothing like this， Miss Americana and The Heartbreak Prince， We're so sad, we paint the town blue， Voted most likely to run away Voted most likely to run away with you",,"{""happy"": 0.095, ""sad"": 0.238, ""calm"": 0.143, ""romantic"": 0.286, ""dark"": 0.19, ""aggressive"": 0.048}",romantic
1382781399,Miss Americana & The Heartbreak Prince,Taylor Swift,,English,,,"作词 : Joel Little/Taylor Swift 作曲 : Joel Little/Taylor Swift You know I adore you, I'm crazier for you Than I was at 16, lost in a film scene Waving homecoming queens, marching band playing I'm lost in the lights American glory faded before me Now I'm feeling hopeless, ripped up my prom dress Running through rose thorns, I saw the scoreboard And ran for my life (Ah) No cameras catch my pageant smile I counted days, I counted miles To see you there, to see you there It's been a long time coming, but It's you and me, that's my whole world They whisper in the hallway, ""She's a bad, bad girl"" (Okay) The whole school is rolling fake dice You play stupid games, you win stupid prizes It's you and me, there's nothing like this Miss Americana and The Heartbreak Prince (Okay) We're so sad, we paint the town blue Voted most likely to run away with you My team is losing, battered and bruising I see the high fives between the bad guys Leave with my head hung, you are the only one Who seems to care American stories burning before me I'm feeling helpless, the damsels are depressed Boys will be boys then, where are the wise men? Darling, I'm scared (Ah) No cameras catch my muffled cries I counted days, I counted miles To see you there, to see you there And now the storm is coming, but It's you and me, that's my whole world They whisper in the hallway, ""She's a bad, bad girl"" (Okay) The whole school is rolling fake dice You play stupid games, you win stupid prizes It's you and me, there's nothing like this Miss Americana and The Heartbreak Prince (Okay) We're so sad, we paint the town blue Voted most likely to run away with you And I don't want you to (Go), I don't really wanna (Fight) 'Cause nobody's gonna (Win), I think you should come home And I don't want you to (Go), I don't really wanna (Fight) 'Cause nobody's gonna (Win), I think you should come home And I don't want you to (Go), I don't really wanna (Fight) 'Cause nobody's gonna (Win), I just thought you should know And I'll never let you (Go) 'cause I know this is a (Fight) That someday we're gonna (Win) It's you and me, that's my whole world They whisper in the hallway, ""She's a bad, bad girl"" Oh, I just thought you should know (You should know) It's you and me, there's nothing like this (Like this) Miss Americana and The Heartbreak Prince (Okay) We're so sad, we paint the town blue (Paint it blue) Voted most likely to run away with you And I don't want you to (Go), I don't really wanna (Fight) 'Cause nobody's gonna (Win), I think you should come home And I'll never let you (Go) 'cause I know this is a (Fight) That someday we're gonna (Win), I just thought you should know It's you and me, that's my whole world They whisper in the hallway, ""She's a bad, bad girl"" ""She's a bad, bad girl""",,"{""happy"": 0.074, ""sad"": 0.222, ""calm"": 0.111, ""romantic"": 0.259, ""dark"": 0.185, ""aggressive"": 0.148}",romantic
2092165233,Cruel Summer (Live from TS | The Eras Tour),Taylor Swift,,English,,,"作词 : Taylor Swift/Jack Antonoff/Annie Clark 作曲 : Taylor Swift/Jack Antonoff/Annie Clark 制作人 : Taylor Swift Oh hi Fever dream high in the quiet of the night You know that I caught it (Oh yeah, you're right, I want it) Bad, bad boy, shiny toy with a price You know that I bought it (Oh yeah, you're right, I want it) Killing me slow, out the window I'm always waiting for you to be waiting below Devils roll the dice, angels roll their eyes What doesn't kill me makes me want you more And it's new, the shape of your body It's blue, the feeling I've got And it's ooh, woah-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, woah-oh It's a cruel summer with you Hang your head low in the glow of the vending machine I'm not dying (Oh yeah, you're right, I want it) We say that we'll just screw it up in these trying times We're not trying (Oh yeah, you're right, I want it) So cut the headlights, summer's a knife I'm always waiting for you just to cut to the bone Devils roll the dice, angels roll their eyes And if I bleed, you'll be the last to know, oh It's new, the shape of your body It's blue, the feeling I've got And it's ooh, woah-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, woah-oh It's a cruel summer with you Alright Los Angeles, we have arrived That the very first bridge of the evening now I have a question: does anyone here know the lyrics to this bridge? Proove it! I'm drunk in the back of the car And I cried like a baby comin' home from the bar (Oh) Said, ""I'm fine,"" but it wasn't true I don't wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate (Oh) And I scream, ""For whatever it's worth I love you, ain't that the worst thing you ever heard?"" He looks up, grinnin' like a devil It's new, the shape of your body It's blue, the feeling I've got And it's ooh, woah-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, woah-oh It's a cruel summer with you I'm drunk in the back of the car And I cried like a baby comin' home from the bar (Oh) Said, ""I'm fine,"" but it wasn't true I don't wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate (Oh) And I scream, ""For whatever it's worth I love you, ain't that the worst thing you ever heard?"" Cruel summer with you With you With you It's a Cruel Summer with you With you With you It's a Cruel Summer",,"{""happy"": 0.095, ""sad"": 0.238, ""calm"": 0.143, ""romantic"": 0.286, ""dark"": 0.19, ""aggressive"": 0.048}",romantic
1382781100,The Man,Taylor Swift,,English,,,"作词 : Joel Little/Taylor Swift 作曲 : Joel Little/Taylor Swift I would be complex, I would be cool They'd say I played the field before I found someone to commit to And that would be okay for me to do Every conquest I had made would make me more of a boss to you I'd be a fearless leader I'd be an alpha type When everyone believes ya What's that like? I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'd be the man I'd be the man They'd say I hustled, put in the work They wouldn't shake their heads and question how much of this I deserve What I was wearing, if I was rude Could all be separated from my good ideas and power moves? And they would toast to me, oh, let the players play I'd be just like Leo in Saint-Tropez I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'd be the man I'd be the man What's it like to brag about raking in dollars And getting bitches and models? And it's all good if you're bad And it's okay if you're mad If I was out flashing my dollars, I'd be a b**ch not a baller They paint me out to be bad So, it's okay that I'm mad I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man (You know that) And I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'd be the man I'd be the man (Oh) I'd be the man (Yeah) I'd be the man (I'd be the man) If I was a man, I'd be the man",,"{""happy"": 0.053, ""sad"": 0.316, ""calm"": 0.105, ""romantic"": 0.053, ""dark"": 0.211, ""aggressive"": 0.263}",sad
1382778973,You Need To Calm Down,Taylor Swift,,English,,,"作词 : Joel Little/Taylor Swift 作曲 : Joel Little/Taylor Swift You are somebody that I don't know But you are taking shots at me like it’s patrón And I’m just like damn It’s 7 am Say it in the street, that’s a knock out But you say it in a tweet that’s a cop out And I’m just like hey Are you ok? And I ain’t trying to mess with your self-expression but I've learned the lesson that stressin’ and obsessing 'bout somebody else is no fun And snakes and stones never broke my bones so Ohhhhh You need to calm down You’re being too loud And I’m just like Ohhhhh You need to just stop Like can you just not Step on my gown You need to calm down You are somebody that we don’t know But you’re coming at my friends like a missile Why are you mad? When you could be GLAAD? Sunshine on the street At the parade But you would rather be in the dark ages Making that sign Must’ve taken all night You just need to take several seats and then try to restore the peace and control your urges to scream about all the people you hate ‘Cause shade never made anybody less gay so Ohhhhh You need to calm down You’re being too loud And I’m just like Ohhhhh You need to just stop Like can you just not Step on his gown You need to calm down And we see you over there On the internet Comparing all the girls who are killing it But we figured you out We all know now We all got crowns You need to calm down Ohhhhh You need to calm down You’re being too loud And I’m just like Ohhhhh You need to just stop Can you stop Like can you just not Step on our gowns You need to calm down",,"{""happy"": 0.2, ""sad"": 0.133, ""calm"": 0.267, ""romantic"": 0.067, ""dark"": 0.133, ""aggressive"": 0.2}",calm
1382778514,Lover,Taylor Swift,,English,,,"作词 : Taylor Swift 作曲 : Taylor Swift 编曲 : Jack Antonoff 制作人 : Taylor Swift/Jack Antonoff We could leave the Christmas lights up ‘til January This is our place, we make the rules And there's a dazzling haze A mysterious way About you dear Have I known you twenty seconds Or twenty years? Can I go where you go? Can we always be this close Forever and ever? And ah, take me out And take me home You're my, my, my, my Lover We can let our friends crash in the living room This is our place, we make the call And I'm highly suspicious That everyone who sees you wants you I've loved you three summers now, honey But I want them all Can I go where you go? Can we always be this close? Forever and ever And ah, take me out And take me home (forever and ever) You're my, my, my, my Lover Ladies and gentlemen Will you please stand With every guitar string scar on my hand I take this magnetic force of a man To be my lover My heart’s been borrowed And yours has been blue All’s well that ends well To end up with you Swear to be overdramatic and true To my lover And you'll save all your dirtiest jokes for me And at every table I'll save you a seat, lover Can I go where you go? And can we always be this close Forever and ever And ah, take me out And take me home (forever and ever) You're my my my my Oh, you're my my my my Darling, you're my my my my Lover",,"{""happy"": 0.25, ""sad"": 0.062, ""calm"": 0.187, ""romantic"": 0.5, ""dark"": 0.0, ""aggressive"": 0.0}",romantic
1832431765,Fearless (Taylor’s Version),Taylor Swift,,English,,,"作词 : Taylor Swift/Hillary Lindsey/Liz Rose 作曲 : Taylor Swift/Hillary Lindsey/Liz Rose 制作人 : Taylor Swift/Christopher Rowe There's something about the way The street looks when it's just rained There's a glow off the pavement You walk me to the car And you know I wanna ask you to dance right there In the middle of the parking lot, yeah, oh yeah We're drivin' down the road, I wonder if you know I'm trying so hard not to get caught up now But you're just so cool, run your hands through your hair Absentmindedly makin' me want you And I don't know how it gets better than this You take my hand and drag me headfirst, fearless And I don't know why but with you I'd dance In a storm in my best dress, fearless So baby drive slow 'til we run out of road In this one-horse town, I wanna stay right here In this passenger seat, you put your eyes on me In this moment, now capture it, remember it 'Cause I don't know how it gets better than this You take my hand and drag me headfirst, fearless And I don't know why but with you I'd dance In a storm in my best dress, fearless Well, you stood there with me in the doorway My hands shake, I'm not usually this way But you pull me in and I'm a little more brave It's the first kiss, it's flawless, really somethin' It's fearless Oh yeah 'Cause I don't know how it gets better than this You take my hand and drag me headfirst, fearless And I don't know why but with you I'd dance In a storm in my best dress, fearless 'Cause I don't know how it gets better than this You take my hand and drag me headfirst, fearless And I don't know why but with you I'd dance In a storm in my best dress, fearless Oh, oh, oh yeah",,"{""happy"": 0.333, ""sad"": 0.056, ""calm"": 0.167, ""romantic"": 0.444, ""dark"": 0.0, ""aggressive"": 0.0}",romantic
1832431773,You Belong With Me (Taylor's Version),Taylor Swift,,English,,,"作词 : Taylor Swift/Liz Rose 作曲 : Taylor Swift/Liz Rose 编曲 : Matt Billingslea/Dan Burns 制作人 : Taylor Swift/Christopher Rowe You're on the phone with your girlfriend ,she's upset. She's going off about something that you said Cause she doesn't, get your humor like I do... I'm in my room It's a typical Tuesday night I'm listening to the kind of music she doesn't like and she'll never know your story like I do ... Cause she wears short skirts I wear T-shirts She's cheer captain And I'm on the bleachers Dreaming about the day when you wake up And find that what you're looking for has been here the whole time If you could see that I'm the one who understands you been here all along so why can't you see, You belong with me You belong with me Walk in the streets with you in your worn-out jeans I can't help thinking this is how it ought to be Laughing on a park bench, thinking to myself Hey isn't this easy And you've got a smile that could light up this whole town I haven't seen it in a while since she brought you down You say you're fine I know you better than that Hey what you doing with a girl like that She wears high heels I wear sneakers She’s cheer captain and I'm on the bleachers Dreaming about the day when you wake up and find That what you're looking for has been here the whole time If you could see that I'm the one who understands you Been here all along so why can't you see You belong with me Standing by and waiting at your back door all this time how could you not know Baby.... You belong with me You belong with me Oh I remember you driving to my house in the middle of the night I'm the one who makes you laugh When you know you're about to cry I know your favorite songs And you tell me about your dreams I think I know where you belong I think I know it's with me. Can't you see that I'm the one who understands you Been here all along So why can't you see You belong with me Standing by and waiting at your back door All this time How could you not know Baby you belong with me You belong with me You belong with me Have you ever thought just maybe you belong with me You belong with me...",,"{""happy"": 0.187, ""sad"": 0.25, ""calm"": 0.125, ""romantic"": 0.375, ""dark"": 0.062, ""aggressive"": 0.0}",romantic
1819857342,Love Story (Taylor’s Version),Taylor Swift,,English,,,"作词 : Taylor Swift 作曲 : Taylor Swift 制作人 : Taylor Swift/Christopher Rowe We were both young when I first saw you. I close my eyes and the flashback starts: I'm standing there On a balcony in summer air. See the lights, see the party, the ball gowns, See you make your way through the crowd, And say, ""Hello."" Little did I know... That you were Romeo, you were throwing pebbles And my daddy said, ""Stay away from Juliet."" And I was crying on the staircase Begging you, ""Please don't go."" And I said, ""Romeo, take me somewhere we can be alone. I'll be waiting, all there's left to do is run. You'll be the prince and I'll be the princess. It's a love story. baby, just say ''Yes."" So, I sneak out to the garden to see you. We keep quiet 'cause we're dead if they knew. So, close your eyes, Escape this town for a little while. Oh, oh. 'Cause you were Romeo. I was a scarlet letter. And my daddy said, ""Stay away from Juliet."" But you were everything to me. I was begging you, ""Please don't go!"" And I said, ""Romeo, take me somewhere we can be alone. I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess. It's a love story, baby, just say ''Yes."" Romeo, save me, they're trying to tell me how to feel This love is difficult but it's real. Don't be afraid, we'll make it out of this mess. It's a love story, baby, just say ''Yes"". Oh, oh, oh. I got tired of waiting, Wondering if you were ever coming around. My faith in you was fading, When I met you on the outskirts of town. And I said, ""Romeo, save me. I've been feeling so alone. I keep waiting for you, but you never come. Is this in my head? I don't know what to think."" He knelt to the ground and pulled out a ring and said, ""Marry me, Juliet. You'll never have to be alone I love you, and that's all I really know. I talked to your dad, go pick out a white dress. It's a love story, baby, just say ''Yes"". Oh, oh, oh, oh, oh, oh. 'Cause we were both young when I first saw you.",,"{""happy"": 0.15, ""sad"": 0.2, ""calm"": 0.1, ""romantic"": 0.4, ""dark"": 0.1, ""aggressive"": 0.05}",romantic
1803546869,willow,Taylor Swift,,English,,,"作词 : Taylor Swift/Aaron Dessner 作曲 : Taylor Swift/Aaron Dessner 编曲 : Aaron Dessner/James McAlister/Bryan Devendorf 制作人 : Aaron Dessner I'm like the water when your ship rolled in that night Rough on the surface, but you cut through like a knife And if it was an open-shut case I never would've known from the look on your face Lost in your current like a priceless wine The more that you say, the less I know Wherever you stray, I follow I'm begging for you to take my hand Wreck my plans, that's my man Life was a willow and it bent right to your wind Head on the pillow, I could feel you sneakin' in As if you were a mythical thing Like you were a trophy or a champion ring And there was one prize I'd cheat to win The more that you say, the less I know Wherever you stray, I follow I'm begging for you to take my hand Wreck my plans, that's my man You know that my train could take you home Anywhere else is hollow I'm begging for you to take my hand Wreck my plans, that's my man Life was a willow and it bent right to your wind They count me out time and time again Life was a willow and it bent right to your wind But I come back stronger than a '90s trend Wait for the signal, and I'll meet you after dark Show me the places where the others gave you scars Now this is an open shut case I guess I should've known from the look on your face Every bait-and-switch was a work of art The more that you say, the less I know Wherever you stray, I follow I'm begging for you to take my hand Wreck my plans, that's my man You know that my train could take you home Anywhere else is hollow I'm begging for you to take my hand Wreck my plans, that's my man The more that you say, the less I know Wherever you stray, I follow I'm begging for you to take my hand Wreck my plans, that's my man You know that my train could take you home Anywhere else is hollow I'm begging for you to take my hand Wreck my plans, that's my man That's my man That's my man That's my man Every bait-and-switch was a work of art That's my man That's my man I'm begging for you to take my hand Wreck my plans, that's my man",,"{""happy"": 0.158, ""sad"": 0.211, ""calm"": 0.105, ""romantic"": 0.316, ""dark"": 0.158, ""aggressive"": 0.053}",romantic
